module_code,module_title,department,classification,m4_lead_name,m4_lead_score,m5_lead_name,m5_lead_score,lead_status,rank_shift,tradeoff_delta,policy_summary
MG3631,Innovation and Knowledge Management,Brunel Business School,taught_academic,Dr Janja Tardios,0.4108,Dr Marco Cuvero Calero,0.4057,DISPLACED_BY_QUOTA,1,0.0052,"Assigned Dr Marco Cuvero Calero (Rank #2, Relevance: 0.4057) under Institutional Workload Policy."
N/A,Projects and Study Skills,Department of Mechanical and Aerospace Engineering,taught_academic,Dr Giulio Alfano,0.1815,Dr Giulio Alfano,0.1815,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Dr Giulio Alfano assigned as Rank #1 subject expert (Relevance score: 0.1815).
OT5614,Professionalism and the Evaluative Occupational Therapist (PEOT) 3: Preparation for career development and professional practice,Department of Health Sciences,taught_academic,Ms Tai Frater,0.4423,Professor Meriel Norris,0.3581,DISPLACED_BY_QUOTA,3,0.0842,"Assigned Professor Meriel Norris (Rank #4, Relevance: 0.3581) under Institutional Workload Policy."
LX3649,Jurisprudence,Department of Social and Political Sciences,taught_academic,Dr Anamika Twyman-Ghoshal,0.2461,Dr Anamika Twyman-Ghoshal,0.2461,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Dr Anamika Twyman-Ghoshal assigned as Rank #1 subject expert (Relevance score: 0.2461).
ME3620,Major Individual Project,Department of Mechanical and Aerospace Engineering,independent_project_placement,Dr Ali Badiei,0.2152,Dr Ali Badiei,0.2152,EXEMPT,0,0.0,Exempt unit: 'Dr Ali Badiei' assigned as academic supervisor / dissertation coordinator.
N/A,Pharmacology and Prescribing Ready,Department of Health Sciences,taught_academic,Dr Allison Wiseman,0.3698,Professor Joy Conway,0.3178,DISPLACED_BY_QUOTA,1,0.052,"Assigned Professor Joy Conway (Rank #2, Relevance: 0.3178) under Institutional Workload Policy."
ME5542,Advanced Modelling and Design,Department of Mechanical and Aerospace Engineering,taught_academic,Dr James Tyacke,0.2904,Dr James Tyacke,0.2904,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Dr James Tyacke assigned as Rank #1 subject expert (Relevance score: 0.2904).
N/A,Fundamentals of Design for Sustainability,Brunel Design School,taught_academic,Dr Fabrizio Ceschin,0.5316,Dr Fabrizio Ceschin,0.5316,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Dr Fabrizio Ceschin assigned as Rank #1 subject expert (Relevance score: 0.5316).
PH5612,Advanced Clinical Leadership,Department of Health Sciences,taught_academic,Dr Allison Wiseman,0.4141,Dr Sayem Ahmed,0.2952,DISPLACED_BY_QUOTA,4,0.1189,"Assigned Dr Sayem Ahmed (Rank #5, Relevance: 0.2952) under Institutional Workload Policy."
MG5577,International and Comparative Human Resource Management,Brunel Business School,taught_academic,Dr Sabeen Ahmad,0.3481,Dr Sabeen Ahmad,0.3481,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Dr Sabeen Ahmad assigned as Rank #1 subject expert (Relevance score: 0.3481).
JR3612,"Fake News, Images & Websites","Department of Social Sciences, Media and Communications",taught_academic,Dr Billur Ozgul,0.3925,Dr Billur Ozgul,0.3925,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Dr Billur Ozgul assigned as Rank #1 subject expert (Relevance score: 0.3925).
EE5603,Digital Design,Brunel Design School,taught_academic,Dr Mohammed Elsouri,0.3632,Dr Mohammed Elsouri,0.3632,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Dr Mohammed Elsouri assigned as Rank #1 subject expert (Relevance score: 0.3632).
N/A,Mindfulness - Neuroscience and Clinical Applications,Department of Life Sciences,taught_academic,Dr Elena Antonova,0.5022,Dr Elena Antonova,0.5022,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Dr Elena Antonova assigned as Rank #1 subject expert (Relevance score: 0.5022).
ME5692,Mechanical Engineering Group Project,Department of Mechanical and Aerospace Engineering,taught_academic,Dr Bertrand Delpech,0.3205,Dr Bertrand Delpech,0.3205,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Dr Bertrand Delpech assigned as Rank #1 subject expert (Relevance score: 0.3205).
FM2608,Games Studies 2: Concepts and Analysis,Department of Arts and Humanities,taught_academic,Dr Thaleia Deniozou,0.4014,Dr Thaleia Deniozou,0.4014,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Dr Thaleia Deniozou assigned as Rank #1 subject expert (Relevance score: 0.4014).
MA2631,Elements of Investment Mathematics,Department of Mathematics,taught_academic,Dr Diana Roman,0.4491,Dr Diana Roman,0.4491,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Dr Diana Roman assigned as Rank #1 subject expert (Relevance score: 0.4491).
LX5673,Intellectual Property and New Technologies,Brunel Law School,taught_academic,Dr Francesca Mazzi,0.429,Dr Francesca Mazzi,0.429,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Dr Francesca Mazzi assigned as Rank #1 subject expert (Relevance score: 0.4290).
ED1714,Education Work Placements 1,Department of Education,independent_project_placement,Dr Paula Zwozdiak-Myers,0.3356,Dr Paula Zwozdiak-Myers,0.3356,EXEMPT,0,0.0,Exempt unit: 'Dr Paula Zwozdiak-Myers' assigned as academic supervisor / dissertation coordinator.
CE2619,Soil Mechanics,Department of Civil and Environmental Engineering,taught_academic,Dr Philip Collins,0.416,Dr Philip Collins,0.416,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Dr Philip Collins assigned as Rank #1 subject expert (Relevance score: 0.4160).
CO3622,21st Century Media Bodies,"Department of Social Sciences, Media and Communications",taught_academic,Dr Billur Ozgul,0.3724,Dr Katalin Halasz,0.3454,DISPLACED_BY_QUOTA,2,0.027,"Assigned Dr Katalin Halasz (Rank #3, Relevance: 0.3454) under Institutional Workload Policy."
N/A,Emergent Wireless Network Technologies,Department of Electronic and Computer Engineering,taught_academic,Professor John Cosmas,0.4314,Professor Nila Nilavalan,0.4011,DISPLACED_BY_QUOTA,1,0.0303,"Assigned Professor Nila Nilavalan (Rank #2, Relevance: 0.4011) under Institutional Workload Policy."
EE1630,Electronic Devices and Systems,Department of Civil and Environmental Engineering,taught_academic,Dr Cigdem Sengul,0.2946,Dr Cigdem Sengul,0.2946,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Dr Cigdem Sengul assigned as Rank #1 subject expert (Relevance score: 0.2946).
PH5641,Working as an Advanced Physiotherapy Practitioner in Musculoskeletal Medicine: Advanced Assessment and Management Skills,Department of Health Sciences,taught_academic,Dr Paapa Kwesi Ampiah,0.4865,Mr Jonathan Warne,0.4756,DISPLACED_BY_QUOTA,1,0.0109,"Assigned Mr Jonathan Warne (Rank #2, Relevance: 0.4756) under Institutional Workload Policy."
N/A,Developing skills for practice,Department of Health Sciences,taught_academic,Dr Allison Wiseman,0.4248,Professor Ann Gallagher,0.424,DISPLACED_BY_QUOTA,1,0.0008,"Assigned Professor Ann Gallagher (Rank #2, Relevance: 0.4240) under Institutional Workload Policy."
N/A,Introduction to Electronic and Computer Systems,Department of Electronic and Computer Engineering,taught_academic,Dr Rumyana Neykova,0.2858,Dr Rumyana Neykova,0.2858,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Dr Rumyana Neykova assigned as Rank #1 subject expert (Relevance score: 0.2858).
SA5599,Guided Study Module,"Department of Social Sciences, Media and Communications",taught_academic,Professor Peggy Froerer,0.2572,Professor Peggy Froerer,0.2572,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Professor Peggy Froerer assigned as Rank #1 subject expert (Relevance score: 0.2572).
BB2734,Bioinformatics and Big Data Analysis,Department of Life Sciences,taught_academic,Professor Emmanouil Karteris,0.2315,Professor Emmanouil Karteris,0.2315,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Professor Emmanouil Karteris assigned as Rank #1 subject expert (Relevance score: 0.2315).
N/A,"MG5651, MG5652 - Praxis 1 and 2",Brunel Business School,taught_academic,Dr Asieh Hosseini Tabaghdehi,0.3466,Dr Long Chen,0.328,DISPLACED_BY_QUOTA,2,0.0187,"Assigned Dr Long Chen (Rank #3, Relevance: 0.3280) under Institutional Workload Policy."
LX5686,Internet Law,Brunel Law School,taught_academic,Dr Elena Abrusci,0.3675,Dr Elena Abrusci,0.3675,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Dr Elena Abrusci assigned as Rank #1 subject expert (Relevance score: 0.3675).
EN3627,Author Study: Chaucer to Shakespeare,Department of Arts and Humanities,taught_academic,Professor Jago Morrison,0.32,Dr Iman Sheeha,0.282,DISPLACED_BY_QUOTA,1,0.038,"Assigned Dr Iman Sheeha (Rank #2, Relevance: 0.2820) under Institutional Workload Policy."
MG3625,Corporate Entrepreneurship and Innovation,Brunel Business School,taught_academic,Professor Catherine Wang,0.3988,Professor Catherine Wang,0.3988,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Professor Catherine Wang assigned as Rank #1 subject expert (Relevance score: 0.3988).
LX5658,Banking and Technology Law,Department of Social and Political Sciences,taught_academic,Dr Luke Heslop,0.1413,Dr Luke Heslop,0.1413,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Dr Luke Heslop assigned as Rank #1 subject expert (Relevance score: 0.1413).
EN1607,The Writer's Toolkit,Department of Arts and Humanities,taught_academic,Dr Thaleia Deniozou,0.2811,Dr Emily Horton,0.2754,DISPLACED_BY_QUOTA,1,0.0058,"Assigned Dr Emily Horton (Rank #2, Relevance: 0.2754) under Institutional Workload Policy."
PX3XXA,Primary Source Workshop,Department of Social and Political Sciences,taught_academic,Professor Peter D. Thomas,0.2361,Dr Alison Carrol,0.2271,DISPLACED_BY_QUOTA,2,0.0089,"Assigned Dr Alison Carrol (Rank #3, Relevance: 0.2271) under Institutional Workload Policy."
N/A,Nursing Practice for Part 1,Department of Health Sciences,taught_academic,Dr Allison Wiseman,0.427,Dr Allison Wiseman,0.427,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Dr Allison Wiseman assigned as Rank #1 subject expert (Relevance score: 0.4270).
CO5607,Digital Media Career Development,Brunel Business School,taught_academic,Mrs Jasmine Cooper,0.3403,Mrs Jasmine Cooper,0.3403,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Mrs Jasmine Cooper assigned as Rank #1 subject expert (Relevance score: 0.3403).
MG5556,Financial Resources Management,Brunel Business School,taught_academic,Dr Radha Shiwakoti,0.3368,Dr Ambrose Egwuonwu,0.3058,DISPLACED_BY_QUOTA,2,0.0309,"Assigned Dr Ambrose Egwuonwu (Rank #3, Relevance: 0.3058) under Institutional Workload Policy."
CM5627,Enabling Autonomous SCPHN Practice,Department of Health Sciences,taught_academic,Dr Allison Wiseman,0.3846,Professor Joy Conway,0.376,DISPLACED_BY_QUOTA,2,0.0086,"Assigned Professor Joy Conway (Rank #3, Relevance: 0.3760) under Institutional Workload Policy."
BB2739,Applied Molecular and Cell Biology,Department of Life Sciences,taught_academic,Dr Christian Rudolph,0.4793,Dr Concetta Bubici,0.4267,DISPLACED_BY_QUOTA,1,0.0526,"Assigned Dr Concetta Bubici (Rank #2, Relevance: 0.4267) under Institutional Workload Policy."
EC2617,Intermediate Microeconomics,"Department of Economics, Finance and Accounting",taught_academic,Dr Angeliki Theophilopoulou,0.2899,Dr Angeliki Theophilopoulou,0.2899,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Dr Angeliki Theophilopoulou assigned as Rank #1 subject expert (Relevance score: 0.2899).
ED5706,Comparative and International Education,Department of Education,taught_academic,Dr Giannis Stefanos Efthymiou,0.3779,Dr Giannis Stefanos Efthymiou,0.3779,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Dr Giannis Stefanos Efthymiou assigned as Rank #1 subject expert (Relevance score: 0.3779).
N/A,Transition to Registered Nurse,Department of Health Sciences,taught_academic,Dr Mark Wareing,0.4034,Mrs Nessie Shia,0.2984,DISPLACED_BY_QUOTA,3,0.105,"Assigned Mrs Nessie Shia (Rank #4, Relevance: 0.2984) under Institutional Workload Policy."
GD26156,Setting and World Design,Department of Arts and Humanities,taught_academic,Dr Thaleia Deniozou,0.3237,Dr Thaleia Deniozou,0.3237,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Dr Thaleia Deniozou assigned as Rank #1 subject expert (Relevance score: 0.3237).
N/A,Applied Research,Department of Health Sciences,taught_academic,Dr Cristina Asenjo Palma,0.4497,Dr Cristina Asenjo Palma,0.4497,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Dr Cristina Asenjo Palma assigned as Rank #1 subject expert (Relevance score: 0.4497).
SP1609,Sport Development Issues and Policy,Department of Life Sciences,taught_academic,Dr Laura Hills,0.5489,Professor Vassil Girginov,0.5221,DISPLACED_BY_QUOTA,1,0.0267,"Assigned Professor Vassil Girginov (Rank #2, Relevance: 0.5221) under Institutional Workload Policy."
EE5121,Power System Stability and Control,Department of Electronic and Computer Engineering,taught_academic,Dr Ahmed F. Zobaa,0.3272,Dr Ahmed F. Zobaa,0.3272,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Dr Ahmed F. Zobaa assigned as Rank #1 subject expert (Relevance score: 0.3272).
CE5633,Project Management,Department of Civil and Environmental Engineering,taught_academic,Dr Nuhu Braimah,0.3555,Dr Nuhu Braimah,0.3555,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Dr Nuhu Braimah assigned as Rank #1 subject expert (Relevance score: 0.3555).
PX2621,"Fascist Italy, 1919-1945: Revolution, Conflict and Collapse",Department of Social and Political Sciences,taught_academic,Dr Richard Hammond,0.3999,Dr Richard Hammond,0.3999,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Dr Richard Hammond assigned as Rank #1 subject expert (Relevance score: 0.3999).
N/A,Product Design Engineering Analysis Project,Brunel Design School,taught_academic,Dr Mohammed Elsouri,0.3231,Dr Mohammed Elsouri,0.3231,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Dr Mohammed Elsouri assigned as Rank #1 subject expert (Relevance score: 0.3231).
LX2604,Land Law,Department of Social and Political Sciences,taught_academic,Dr Anna Tuckett,0.2428,Dr Ayushman Bhagat,0.2354,DISPLACED_BY_QUOTA,1,0.0074,"Assigned Dr Ayushman Bhagat (Rank #2, Relevance: 0.2354) under Institutional Workload Policy."
EE5623,Design for Internet of Things,Department of Electronic and Computer Engineering,taught_academic,Dr Cigdem Sengul,0.3582,Professor John Cosmas,0.3543,DISPLACED_BY_QUOTA,1,0.0039,"Assigned Professor John Cosmas (Rank #2, Relevance: 0.3543) under Institutional Workload Policy."
SA2621,"Kinship, Sex and Gender","Department of Social Sciences, Media and Communications",taught_academic,Dr Isak Niehaus,0.3705,Dr Isak Niehaus,0.3705,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Dr Isak Niehaus assigned as Rank #1 subject expert (Relevance score: 0.3705).
PH5616,Anatomy and Physiology,Department of Health Sciences,taught_academic,Miss Alex Harvey,0.3519,Dr Vicky MacBean,0.3495,DISPLACED_BY_QUOTA,1,0.0024,"Assigned Dr Vicky MacBean (Rank #2, Relevance: 0.3495) under Institutional Workload Policy."
N/A,Introduction to Medical Sciences 2,Brunel Medical School,taught_academic,Unassigned Lead,0.0,Unassigned,0.0,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Unassigned assigned as Rank #1 subject expert (Relevance score: 0.0000).
EE5550,Radio and Optical Communication Systems,Department of Electronic and Computer Engineering,taught_academic,Professor John Cosmas,0.2923,Dr Lehu Wen,0.1995,DISPLACED_BY_QUOTA,2,0.0928,"Assigned Dr Lehu Wen (Rank #3, Relevance: 0.1995) under Institutional Workload Policy."
FM3612,Major Project – Game Assets,Department of Arts and Humanities,independent_project_placement,Dr Thaleia Deniozou,0.3953,Dr Thaleia Deniozou,0.3953,EXEMPT,0,0.0,Exempt unit: 'Dr Thaleia Deniozou' assigned as academic supervisor / dissertation coordinator.
LX5653,European and International Media Law,Department of Social and Political Sciences,taught_academic,Professor Sarita Malik,0.2332,Dr Anita Howarth,0.1947,DISPLACED_BY_QUOTA,1,0.0385,"Assigned Dr Anita Howarth (Rank #2, Relevance: 0.1947) under Institutional Workload Policy."
EC1608,Mathematics for Economics and Finance,"Department of Economics, Finance and Accounting",taught_academic,Professor Menelaos Karanasos,0.3928,Dr Fang Xu,0.3784,DISPLACED_BY_QUOTA,3,0.0144,"Assigned Dr Fang Xu (Rank #4, Relevance: 0.3784) under Institutional Workload Policy."
EE3643,Sustainable Electrical Energy Systems,Department of Electronic and Computer Engineering,taught_academic,Dr Ioana Pisica,0.4504,Dr Ioana Pisica,0.4504,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Dr Ioana Pisica assigned as Rank #1 subject expert (Relevance score: 0.4504).
N/A,Robotics and Control Systems,Department of Electronic and Computer Engineering,taught_academic,Professor Zidong Wang,0.2019,Dr Weibo Liu,0.1369,DISPLACED_BY_QUOTA,4,0.065,"Assigned Dr Weibo Liu (Rank #5, Relevance: 0.1369) under Institutional Workload Policy."
PX3626,Primary Source Workshop,Department of Social and Political Sciences,taught_academic,Dr Paul Moody,0.136,Dr Steven Wagner,0.1131,DISPLACED_BY_QUOTA,4,0.0229,"Assigned Dr Steven Wagner (Rank #5, Relevance: 0.1131) under Institutional Workload Policy."
CL5602,Innovation Toolbox,Department of Chemical Engineering,taught_academic,Dr Alan Serrano-Rico,0.234,Dr Yang Yang,0.2322,DISPLACED_BY_QUOTA,1,0.0018,"Assigned Dr Yang Yang (Rank #2, Relevance: 0.2322) under Institutional Workload Policy."
MA2633,Machine Learning for Artificial Intelligence,Department of Mathematics,taught_academic,Dr Zohreh Kaheh,0.2692,Dr Zohreh Kaheh,0.2692,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Dr Zohreh Kaheh assigned as Rank #1 subject expert (Relevance score: 0.2692).
SA2624,"Middle East: Societies, Religion and Politics","Department of Social Sciences, Media and Communications",taught_academic,Dr Maria Kastrinou,0.3966,Dr Maria Kastrinou,0.3966,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Dr Maria Kastrinou assigned as Rank #1 subject expert (Relevance score: 0.3966).
N/A,Research Methods and Statistics for Psychology,Department of Life Sciences,taught_academic,Dr Andre J. Szameitat,0.4138,Professor Veena Kumari,0.3796,DISPLACED_BY_QUOTA,4,0.0342,"Assigned Professor Veena Kumari (Rank #5, Relevance: 0.3796) under Institutional Workload Policy."
LX5684,International Environmental and Energy Law,Brunel Law School,taught_academic,Dr Filip Balcerzak,0.4911,Dr Filip Balcerzak,0.4911,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Dr Filip Balcerzak assigned as Rank #1 subject expert (Relevance score: 0.4911).
EC3QQQ,Game Theory,"Department of Economics, Finance and Accounting",taught_academic,Dr Sven Fischer,0.1964,Dr Sven Fischer,0.1964,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Dr Sven Fischer assigned as Rank #1 subject expert (Relevance score: 0.1964).
EC5614,Corporate Finance,"Department of Economics, Finance and Accounting",taught_academic,Professor Stylianos Asimakopoulos,0.4745,Dr Bryan Mase,0.4322,DISPLACED_BY_QUOTA,1,0.0423,"Assigned Dr Bryan Mase (Rank #2, Relevance: 0.4322) under Institutional Workload Policy."
PH1606,Respiratory,Department of Health Sciences,taught_academic,Professor Joy Conway,0.4293,Dr Vicky MacBean,0.4092,DISPLACED_BY_QUOTA,2,0.0201,"Assigned Dr Vicky MacBean (Rank #3, Relevance: 0.4092) under Institutional Workload Policy."
N/A,Human Sexual Diversity,Department of Life Sciences,taught_academic,Dr Nelli Ferenczi,0.3759,Dr Rebecca Sear,0.2805,DISPLACED_BY_QUOTA,3,0.0953,"Assigned Dr Rebecca Sear (Rank #4, Relevance: 0.2805) under Institutional Workload Policy."
N/A,Natural Resources and Solid Waste Management,Department of Civil and Environmental Engineering,taught_academic,Dr Dimitris Malamis,0.4676,Dr Dimitris Malamis,0.4676,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Dr Dimitris Malamis assigned as Rank #1 subject expert (Relevance score: 0.4676).
FM2640,Professional Filmmaking,Department of Arts and Humanities,taught_academic,Dr Paul Moody,0.2816,Dr Paul Moody,0.2816,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Dr Paul Moody assigned as Rank #1 subject expert (Relevance score: 0.2816).
MB5538,Principles of Marketing,Brunel Business School,taught_academic,Dr Gurdeep Kohli,0.3559,Dr Pantea Foroudi,0.3108,DISPLACED_BY_QUOTA,4,0.0451,"Assigned Dr Pantea Foroudi (Rank #5, Relevance: 0.3108) under Institutional Workload Policy."
MB5531,Healthcare Policy,Brunel Business School,taught_academic,Dr Bryan McIntosh,0.2777,Professor Francesco Moscone,0.2478,DISPLACED_BY_QUOTA,1,0.03,"Assigned Professor Francesco Moscone (Rank #2, Relevance: 0.2478) under Institutional Workload Policy."
LX5647,Business and Human Rights,Brunel Law School,taught_academic,Dr Elena Abrusci,0.4192,Dr Lisa Mardikian,0.4191,DISPLACED_BY_QUOTA,1,0.0001,"Assigned Dr Lisa Mardikian (Rank #2, Relevance: 0.4191) under Institutional Workload Policy."
PH5674,Person-Centred Healthcare and Leadership 1,Department of Health Sciences,taught_academic,Dr Paapa Kwesi Ampiah,0.4205,Dr Paapa Kwesi Ampiah,0.4205,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Dr Paapa Kwesi Ampiah assigned as Rank #1 subject expert (Relevance score: 0.4205).
N/A,Introduction to English for Academic Purposes,Department of Electronic and Computer Engineering,taught_academic,Dr Monica Pereira,0.2708,Dr Monica Pereira,0.2708,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Dr Monica Pereira assigned as Rank #1 subject expert (Relevance score: 0.2708).
MG5594,"Knowledge Management, Social Networks and Innovation",Brunel Business School,taught_academic,Dr Xiaoqing Li,0.3861,Dr Marco Cuvero Calero,0.3719,DISPLACED_BY_QUOTA,1,0.0142,"Assigned Dr Marco Cuvero Calero (Rank #2, Relevance: 0.3719) under Institutional Workload Policy."
EN3000,Creative Writing Special Project,Department of Arts and Humanities,taught_academic,Professor Jago Morrison,0.234,Dr Ellie Reed,0.1948,DISPLACED_BY_QUOTA,4,0.0391,"Assigned Dr Ellie Reed (Rank #5, Relevance: 0.1948) under Institutional Workload Policy."
MG1607,Digital Technology and AI for Business and Management,Brunel Business School,taught_academic,Dr Amir Ashrafi,0.3692,Dr Amir Ashrafi,0.3692,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Dr Amir Ashrafi assigned as Rank #1 subject expert (Relevance score: 0.3692).
CW3601,Creative Writing Special Project,Department of Arts and Humanities,taught_academic,Professor Jago Morrison,0.2445,Dr Will Rollason,0.2223,DISPLACED_BY_QUOTA,1,0.0222,"Assigned Dr Will Rollason (Rank #2, Relevance: 0.2223) under Institutional Workload Policy."
FM2633,Film and Television Genres,Department of Arts and Humanities,taught_academic,Dr Sean Holmes,0.3717,Dr Jon Hackett,0.2987,DISPLACED_BY_QUOTA,2,0.073,"Assigned Dr Jon Hackett (Rank #3, Relevance: 0.2987) under Institutional Workload Policy."
GD1609,Games Studies 1A: Introduction to Game Studies,Department of Arts and Humanities,taught_academic,Dr Thaleia Deniozou,0.4271,Dr Thaleia Deniozou,0.4271,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Dr Thaleia Deniozou assigned as Rank #1 subject expert (Relevance score: 0.4271).
EN5602,Postmillennial Literature,Department of Arts and Humanities,taught_academic,Dr Emily Horton,0.3711,Dr Jessica Cox,0.3557,DISPLACED_BY_QUOTA,2,0.0154,"Assigned Dr Jessica Cox (Rank #3, Relevance: 0.3557) under Institutional Workload Policy."
PP3621,Parliamentary Studies,Department of Social and Political Sciences,taught_academic,Professor John Roberts,0.2715,Professor John Roberts,0.2715,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Professor John Roberts assigned as Rank #1 subject expert (Relevance score: 0.2715).
MG5581,Procurement Fundamentals,Brunel Business School,taught_academic,Dr Zhen Chen,0.2627,Dr Xia Han,0.2162,DISPLACED_BY_QUOTA,4,0.0465,"Assigned Dr Xia Han (Rank #5, Relevance: 0.2162) under Institutional Workload Policy."
N/A,Introduction to the Psychology of Sport and Exercise,Department of Life Sciences,taught_academic,Dr Rebecca Hings,0.5957,Dr Misia Gervis,0.5408,DISPLACED_BY_QUOTA,2,0.0548,"Assigned Dr Misia Gervis (Rank #3, Relevance: 0.5408) under Institutional Workload Policy."
PY1615,Learning and Perception,Department of Life Sciences,taught_academic,Dr Caroline Di Bernardi Luft,0.2944,Dr Rachel Bennetts,0.2912,DISPLACED_BY_QUOTA,1,0.0032,"Assigned Dr Rachel Bennetts (Rank #2, Relevance: 0.2912) under Institutional Workload Policy."
N/A,"Social Psychology, and Individual Differences",Department of Life Sciences,taught_academic,Dr Nicole Wen,0.3631,Dr Liam O'Reilly,0.3228,DISPLACED_BY_QUOTA,4,0.0403,"Assigned Dr Liam O'Reilly (Rank #5, Relevance: 0.3228) under Institutional Workload Policy."
N/A,Enhancing Skills for Mental Health Nursing,Department of Health Sciences,taught_academic,Professor Ann Gallagher,0.4642,Mrs Nessie Shia,0.4495,DISPLACED_BY_QUOTA,1,0.0147,"Assigned Mrs Nessie Shia (Rank #2, Relevance: 0.4495) under Institutional Workload Policy."
CO3XXX,Working in the Creative and Cultural Industries,"Department of Social Sciences, Media and Communications",taught_academic,Professor Sarita Malik,0.292,Dr Hauke Riesch,0.2262,DISPLACED_BY_QUOTA,3,0.0657,"Assigned Dr Hauke Riesch (Rank #4, Relevance: 0.2262) under Institutional Workload Policy."
LX5616,Privacy and Data Protection,Brunel Law School,taught_academic,Dr Asress Gikay,0.3687,Dr Asress Gikay,0.3687,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Dr Asress Gikay assigned as Rank #1 subject expert (Relevance score: 0.3687).
CE3615,Geotechnical Engineering,Department of Civil and Environmental Engineering,taught_academic,Dr Philip Collins,0.4605,Dr Philip Collins,0.4605,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Dr Philip Collins assigned as Rank #1 subject expert (Relevance score: 0.4605).
CS0001,Introduction to Computing,Department of Mathematics,taught_academic,Professor Stephen Langdon,0.1678,Professor Jane Lawrie,0.1667,DISPLACED_BY_QUOTA,1,0.0011,"Assigned Professor Jane Lawrie (Rank #2, Relevance: 0.1667) under Institutional Workload Policy."
PY2611,Cognitive Neuroscience,Department of Life Sciences,taught_academic,Dr Andre J. Szameitat,0.4271,Dr Julio Rodriguez Larios,0.4115,DISPLACED_BY_QUOTA,1,0.0157,"Assigned Dr Julio Rodriguez Larios (Rank #2, Relevance: 0.4115) under Institutional Workload Policy."
CE5513,Research Methods and Professional Development,Department of Civil and Environmental Engineering,taught_academic,Dr Ruoyu Jin,0.2416,Dr Muhammad Shafique,0.2164,DISPLACED_BY_QUOTA,3,0.0252,"Assigned Dr Muhammad Shafique (Rank #4, Relevance: 0.2164) under Institutional Workload Policy."
PP2628,National Security Intelligence,Department of Social and Political Sciences,taught_academic,Professor Philip Davies,0.4272,Professor Philip Davies,0.4272,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Professor Philip Davies assigned as Rank #1 subject expert (Relevance score: 0.4272).
CS5703,Data Visualisation,Department of Computer Science,taught_academic,Professor George Ghinea,0.2901,Dr Timothy Cribbin,0.2592,DISPLACED_BY_QUOTA,1,0.0309,"Assigned Dr Timothy Cribbin (Rank #2, Relevance: 0.2592) under Institutional Workload Policy."
CO3610,Media and Communications Major Project,Department of Social and Political Sciences,independent_project_placement,Professor Sarita Malik,0.1923,Professor Sarita Malik,0.1923,EXEMPT,0,0.0,Exempt unit: 'Professor Sarita Malik' assigned as academic supervisor / dissertation coordinator.
